specI_cluster	ref-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
specI_v3_03991	ref_mOTU_v25_03991	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	85015 Nocardioidaceae	1839 Nocardioides	NA Nocardioides sp. [Nocardioides sp. Soil796/Nocardioides sp. Root140/Nocardioides sp. Root151]
specI_v3_05607	ref_mOTU_v25_05607	2 Bacteria	1134404 Ignavibacteriae	795747 Ignavibacteria	NA Ignavibacteria order incertae sedis	NA Ignavibacteria fam. incertae sedis	NA Ignavibacteria gen. incertae sedis	NA Ignavibacteria bacterium [Ignavibacteria bacterium GWA2_35_8/Ignavibacteria bacterium GWB2_35_12/Ignavibacteria bacterium RIFOXYA2_FULL_35_10/Ignavibacteria bacterium RIFOXYC2_FULL_35_21]
specI_v3_05477	ref_mOTU_v25_05477	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Adlerbacteria bacterium [Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_02_FULL_54_18/Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_54_21b]
specI_v3_05057	ref_mOTU_v25_05057	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Saccharibacteria bacterium [Candidatus Saccharibacteria bacterium GW2011_GWA2_46_10/Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_47_17]
specI_v3_05498	ref_mOTU_v25_05498	2 Bacteria	976 Bacteroidetes	NA Bacteroidetes class incertae sedis	NA Bacteroidetes order incertae sedis	NA Bacteroidetes fam. incertae sedis	NA Bacteroidetes gen. incertae sedis	NA Bacteroidetes bacterium [Bacteroidetes bacterium GWF2_38_335/Bacteroidetes bacterium RIFOXYA12_FULL_38_20]
specI_v3_04809	ref_mOTU_v25_04809	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	32033 Xanthomonadaceae	338 Xanthomonas	NA Xanthomonas sp. [Xanthomonas sp. GPE 39/Xanthomonas sp. MUS 060]
specI_v3_05591	ref_mOTU_v25_05591	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	NA Gammaproteobacteria bacterium [Gammaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_13/Gammaproteobacteria bacterium RIFCSPLOWO2_02_FULL_42_9]
specI_v3_01569	ref_mOTU_v25_01569	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	2745 Halomonas	NA Halomonas sp. [Halomonas sp. A3H3/Halomonas sp. 23_GOM-1509m/Halomonas sp. 19A_GOM-1509m/Halomonas sp. DSM 26667/Halomonas sp. KHS3]
specI_v3_05599	ref_mOTU_v25_05599	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Giovannonibacteria bacterium [Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_01_FULL_48_47/Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_02_FULL_48_15/Candidatus Giovannonibacteria bacterium RIFCSPLOWO2_01_FULL_48_47/Candidatus Giovannonibacteria bacterium RIFOXYD1_FULL_48_21]
specI_v3_05633	ref_mOTU_v25_05633	2 Bacteria	256845 Lentisphaerae	NA Lentisphaerae class incertae sedis	NA Lentisphaerae order incertae sedis	NA Lentisphaerae fam. incertae sedis	NA Lentisphaerae gen. incertae sedis	NA Lentisphaerae bacterium [Lentisphaerae bacterium RIFOXYB12_FULL_60_10/Lentisphaerae bacterium RIFOXYC12_FULL_60_16]
specI_v3_05437	ref_mOTU_v25_05437	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204458 Caulobacterales	76892 Caulobacteraceae	20 Phenylobacterium	NA Phenylobacterium sp. [Phenylobacterium sp. CCH12-B4/Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31]
specI_v3_04930	ref_mOTU_v25_04930	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Woesebacteria bacterium [Candidatus Woesebacteria bacterium GW2011_GWA1_39_8/Candidatus Woesebacteria bacterium GWB1_37_5/Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_39_32/Candidatus Woesebacteria bacterium RIFCSPHIGHO2_12_FULL_38_11/Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_39_25]
specI_v3_00410	ref_mOTU_v25_00410	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	75682 Oxalobacteraceae	202907 Collimonas	NA Collimonas sp. [Collimonas sp. OK607/Collimonas sp. OK307]
specI_v3_06229	ref_mOTU_v25_06229	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium sp. [Clostridium sp. BL-8/Clostridium sp. DL-VIII]
specI_v3_05520	ref_mOTU_v25_05520	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Buchananbacteria bacterium [Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_46_12/Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_02_FULL_45_11b/Candidatus Buchananbacteria bacterium RIFCSPLOWO2_01_FULL_45_31/Candidatus Buchananbacteria bacterium RIFCSPLOWO2_02_FULL_46_11b]
specI_v3_05104	ref_mOTU_v25_05104	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1763 Mycobacterium	NA Mycobacterium sp. [Mycobacterium sp. E1386/Mycobacterium sp. E2238/Mycobacterium sp. E3251]
specI_v3_04979	ref_mOTU_v25_04979	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria sp. [Candidatus Nomurabacteria bacterium GW2011_GWB1_44_12/Parcubacteria group bacterium GW2011_GWA1_44_13]
specI_v3_01635	ref_mOTU_v25_01635	2 Bacteria	976 Bacteroidetes	1853228 Chitinophagia	1853229 Chitinophagales	563835 Chitinophagaceae	1612198 Asinibacterium	NA Asinibacterium sp. [Asinibacterium sp. OR43/Asinibacterium sp. OR53]
specI_v3_05037	ref_mOTU_v25_05037	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Uhrbacteria bacterium [Candidatus Uhrbacteria bacterium GW2011_GWA2_42_220/Candidatus Uhrbacteria bacterium GW2011_GWB1_41_7/Candidatus Uhrbacteria bacterium GW2011_GWB2_41_36/Candidatus Uhrbacteria bacterium GW2011_GWC1_41_20/Candidatus Uhrbacteria bacterium GW2011_GWC2_40_450/Candidatus Uhrbacteria bacterium GW2011_GWD1_41_16/Candidatus Uhrbacteria bacterium GW2011_GWD2_41_121/Candidatus Uhrbacteria bacterium GW2011_GWE1_39_46/Candidatus Uhrbacteria bacterium GW2011_GWF2_41_40/Candidatus Uhrbacteria bacterium GW2011_GWF2_41_430/Candidatus Uhrbacteria bacterium RIFOXYB2_FULL_41_10]
specI_v3_03564	ref_mOTU_v25_03564	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	497 Psychrobacter	NA Psychrobacter sp. [Psychrobacter sp. ENNN9_III/Psychrobacter sp. Cmf 22.2]
specI_v3_05667	ref_mOTU_v25_05667	2 Bacteria	40117 Nitrospirae	NA Nitrospirae class incertae sedis	NA Nitrospirae order incertae sedis	NA Nitrospirae fam. incertae sedis	NA Nitrospirae gen. incertae sedis	NA Nitrospirae bacterium [Nitrospirae bacterium GWA2_46_11/Nitrospirae bacterium GWB2_47_37]
specI_v3_04942	ref_mOTU_v25_04942	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Azambacteria bacterium [Candidatus Azambacteria bacterium GW2011_GWB2_46_37/Candidatus Azambacteria bacterium GW2011_GWF2_46_32/Candidatus Azambacteria bacterium RIFCSPHIGHO2_01_46_10/Candidatus Azambacteria bacterium RIFCSPHIGHO2_02_46_12/Candidatus Azambacteria bacterium RIFCSPLOWO2_01_FULL_46_26/Candidatus Azambacteria bacterium RIFCSPLOWO2_02_FULL_46_11]
specI_v3_04965	ref_mOTU_v25_04965	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Magasanikbacteria bacterium [Candidatus Magasanikbacteria bacterium GW2011_GWA2_43_9/Candidatus Magasanikbacteria bacterium GW2011_GWC2_42_27/Candidatus Magasanikbacteria bacterium GW2011_GWD2_43_18]
specI_v3_02833	ref_mOTU_v25_02833	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	32008 Burkholderia	NA Burkholderia sp. [Burkholderia sp. CCGE1002/Burkholderia sp. JPY251]
specI_v3_00880	ref_mOTU_v25_00880	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	32008 Burkholderia	NA Burkholderia sp. [Burkholderia sp. BDU18/Burkholderia sp. BDU19/Burkholderia sp. MSMB617WGS/Burkholderia sp. MSMB0265/Burkholderia sp. MSMB0266/Burkholderia sp. MSMB2040/Burkholderia sp. MSMB2041/Burkholderia sp. MSMB2042/Burkholderia sp. MSMB0852/Burkholderia sp. MSMB1498/Burkholderia sp. ABCPW 111]
specI_v3_05782	ref_mOTU_v25_05782	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Woesebacteria bacterium [Candidatus Woesebacteria bacterium RBG_13_36_22/Candidatus Woesebacteria bacterium RBG_16_36_11/Candidatus Woesebacteria bacterium RBG_19FT_COMBO_37_29]
specI_v3_05227	ref_mOTU_v25_05227	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	1706369 Cellvibrionales	1706373 Microbulbiferaceae	48073 Microbulbifer	NA Microbulbifer sp. [Microbulbifer sp. ZGT114/Microbulbifer sp. WRN-8]
specI_v3_05798	ref_mOTU_v25_05798	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA candidate division WOR-1 bacterium [candidate division WOR-1 bacterium RIFCSPHIGHO2_01_FULL_53_15/candidate division WOR-1 bacterium RIFCSPHIGHO2_02_FULL_53_26]
specI_v3_03016	ref_mOTU_v25_03016	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	NA Microbacterium sp. [Microbacterium sp. Cr-K20/Microbacterium sp. Cr-K1W]
specI_v3_05280	ref_mOTU_v25_05280	2157 Archaea	28890 Euryarchaeota	1051663 Nanohaloarchaea	NA Nanohaloarchaea order incertae sedis	NA Nanohaloarchaea fam. incertae sedis	NA Nanohaloarchaea gen. incertae sedis	NA Nanohaloarchaea archaeon [Nanohaloarchaea archaeon PL-Br10_U2g19/Nanohaloarchaea archaeon B1-Br10_U2g1]
specI_v3_05879	ref_mOTU_v25_05879	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Doudnabacteria bacterium [Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_FULL_50_67/Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_02_FULL_49_24/Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_12_FULL_48_16/Candidatus Doudnabacteria bacterium RIFCSPLOWO2_01_FULL_49_40/Candidatus Doudnabacteria bacterium RIFCSPLOWO2_02_FULL_49_13]
specI_v3_05745	ref_mOTU_v25_05745	2 Bacteria	203691 Spirochaetes	NA Spirochaetes class incertae sedis	NA Spirochaetes order incertae sedis	NA Spirochaetes fam. incertae sedis	NA Spirochaetes gen. incertae sedis	NA Spirochaetes bacterium [Spirochaetes bacterium GWE1_32_154/Spirochaetes bacterium GWE2_31_10/Spirochaetes bacterium GWF1_31_7]
specI_v3_04321	ref_mOTU_v25_04321	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	323620 Shinella	NA Shinella sp. [Shinella sp. DD12/Shinella sp. GWS1/Shinella sp. SUS2]
specI_v3_04466	ref_mOTU_v25_04466	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	469 Acinetobacter	NA Acinetobacter sp. [Acinetobacter sp. ANC 5600/Acinetobacter sp. ANC 4945]
specI_v3_05586	ref_mOTU_v25_05586	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	NA Nitrosomonadales fam. incertae sedis	NA Nitrosomonadales gen. incertae sedis	NA Gallionellales bacterium [Gallionellales bacterium GWA2_54_124/Gallionellales bacterium RIFOXYD12_FULL_53_10]
specI_v3_05538	ref_mOTU_v25_05538	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Curtissbacteria bacterium [Candidatus Curtissbacteria bacterium RIFCSPLOWO2_01_FULL_41_18/Candidatus Curtissbacteria bacterium RIFCSPHIGHO2_01_FULL_41_13]
specI_v3_05502	ref_mOTU_v25_05502	2 Bacteria	1224 Proteobacteria	1553900 Oligoflexia	213481 Bdellovibrionales	NA Bdellovibrionales fam. incertae sedis	NA Bdellovibrionales gen. incertae sedis	NA Bdellovibrionales bacterium [Bdellovibrionales bacterium GWA1_52_35/Bdellovibrionales bacterium GWB1_52_6/Bdellovibrionales bacterium GWC1_52_8]
specI_v3_05539	ref_mOTU_v25_05539	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	281915 Curvibacter	NA Curvibacter sp. [Curvibacter sp. GWA2_63_95/Curvibacter sp. RIFCSPHIGHO2_12_FULL_63_18]
specI_v3_03899	ref_mOTU_v25_03899	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204458 Caulobacterales	76892 Caulobacteraceae	75 Caulobacter	NA Caulobacter sp. [Caulobacter sp. OV484/Caulobacter sp. Root342/Caulobacter sp. Root343]
specI_v3_03624	ref_mOTU_v25_03624	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	NA Clostridium sp. [Clostridium sp. CAG:813/Candidatus Gastranaerophilales bacterium HUM_1]
specI_v3_04133	ref_mOTU_v25_04133	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	255475 Aurantimonadaceae	414371 Aureimonas	NA Aureimonas sp. [Aureimonas sp. AU20/Aureimonas sp. AU40]
specI_v3_05913	ref_mOTU_v25_05913	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	NA Rhodobacteraceae gen. [Marivivens/Donghicola]	NA Rhodobacteraceae sp. [Donghicola sp. JL3646/Marivivens sp. JLT3646]
specI_v3_01568	ref_mOTU_v25_01568	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	2745 Halomonas	NA Halomonas sp. [Halomonas sp. TG39a/Halomonas sp. R57-5]
specI_v3_05801	ref_mOTU_v25_05801	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA candidate division WOR-1 bacterium [candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27/candidate division WOR-1 bacterium RIFOXYA2_FULL_46_56/candidate division WOR-1 bacterium RIFOXYB2_FULL_46_45/candidate division WOR-1 bacterium RIFOXYC2_FULL_46_14]
specI_v3_05906	ref_mOTU_v25_05906	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1763 Mycobacterium	NA Mycobacterium sp. [Mycobacterium sp. IS-836/Mycobacterium sp. SP-6446]
specI_v3_04939	ref_mOTU_v25_04939	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria sp. [Candidatus Azambacteria bacterium GW2011_GWA1_44_9/Candidatus Giovannonibacteria bacterium GW2011_GWB1_47_6b/Parcubacteria group bacterium GW2011_GWA2_47_8b/Candidatus Harrisonbacteria bacterium RIFCSPHIGHO2_12_FULL_48_16]
specI_v3_05350	ref_mOTU_v25_05350	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	NA Rhizobium sp. [Rhizobium sp. Root1240/Rhizobium sp. Root274]
specI_v3_04994	ref_mOTU_v25_04994	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria sp. [Parcubacteria group bacterium GW2011_GWA2_38_27/Parcubacteria group bacterium GW2011_GWC2_39_11/Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_01_FULL_38_55/Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_02_38_10/Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_02_FULL_38_75/Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_12_FULL_38_18/Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_38_120/Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_02_39_8/Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_12_FULL_39_31]
specI_v3_04846	ref_mOTU_v25_04846	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Parcubacteria group bacterium [Parcubacteria group bacterium GW2011_GWA2_40_143/Parcubacteria group bacterium GW2011_GWC2_40_31/Parcubacteria group bacterium GW2011_GWD2_40_9/Parcubacteria group bacterium GW2011_GWF2_40_10]
specI_v3_00635	ref_mOTU_v25_00635	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	NA Streptomyces sp. [Streptomyces sp. Amel2xE9/Streptomyces sp. e14]
specI_v3_01046	ref_mOTU_v25_01046	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	NA Rhizobium sp. [Rhizobium sp. N324/Rhizobium sp. N541/Rhizobium sp. N941/Rhizobium sp. RSm-3]
specI_v3_01357	ref_mOTU_v25_01357	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria sp. [Aminicenantes bacterium SCGC AAA252-A02/Aminicenantes bacterium SCGC AAA252-F08/Aminicenantes bacterium JGI OTU-2/Candidatus Aminicenans sakinawicola]
specI_v3_04890	ref_mOTU_v25_04890	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Woesebacteria bacterium [Candidatus Woesebacteria bacterium GW2011_GWA1_43_12/Candidatus Woesebacteria bacterium GW2011_GWB1_39_10]
specI_v3_05159	ref_mOTU_v25_05159	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	NA Microbacterium sp. [Microbacterium sp. SCN 71-17/Microbacterium sp. 71-36/Microbacterium sp. RURRCA19A]
specI_v3_05198	ref_mOTU_v25_05198	2 Bacteria	1239 Firmicutes	186801 Clostridia	NA Clostridia order incertae sedis	NA Clostridia fam. incertae sedis	NA Clostridia gen. incertae sedis	NA Clostridia sp. [Clostridia bacterium DTU014/uncultured Clostridia bacterium]
specI_v3_03229	ref_mOTU_v25_03229	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	NA Prochlorococcus sp. [Prochlorococcus sp. scB241_528P18/Prochlorococcus sp. scB241_529D18/Prochlorococcus sp. scB241_529J15/Prochlorococcus sp. scB243_495L20/Prochlorococcus sp. scB243_496A2/Prochlorococcus sp. scB243_497J18/Prochlorococcus sp. scB243_498N4/Prochlorococcus sp. scB245a_518A17/Prochlorococcus sp. scB245a_518A6]
specI_v3_05174	ref_mOTU_v25_05174	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	1775411 Rhodanobacteraceae	75309 Rhodanobacter	NA Rhodanobacter sp. [Rhodanobacter sp. SCN 67-45/Rhodanobacter sp. 67-28]
specI_v3_05014	ref_mOTU_v25_05014	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Bacteria sp. [Parcubacteria group bacterium GW2011_GWA2_47_10/Candidatus Sungbacteria bacterium RIFCSPHIGHO2_01_FULL_47_32/Candidatus Sungbacteria bacterium RIFCSPHIGHO2_02_FULL_46_12/Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_47_32/Candidatus Sungbacteria bacterium RIFCSPLOWO2_02_FULL_47_9]
specI_v3_05066	ref_mOTU_v25_05066	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA candidate division WWE3 bacterium [candidate division WWE3 bacterium GW2011_GWB2_43_22/candidate division WWE3 bacterium RIFOXYA12_FULL_43_11/candidate division WWE3 bacterium RIFOXYA2_FULL_43_12/candidate division WWE3 bacterium RIFOXYB2_FULL_43_9/candidate division WWE3 bacterium RIFOXYC2_FULL_42_13/candidate division WWE3 bacterium RIFOXYD2_FULL_43_10]
specI_v3_05833	ref_mOTU_v25_05833	2 Bacteria	200795 Chloroflexi	NA Chloroflexi class incertae sedis	NA Chloroflexi order incertae sedis	NA Chloroflexi fam. incertae sedis	NA Chloroflexi gen. incertae sedis	NA Chloroflexi bacterium [Chloroflexi bacterium 13_1_40CM_4_65_16/Chloroflexi bacterium 13_1_40CM_66_19]
specI_v3_04972	ref_mOTU_v25_04972	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Nomurabacteria bacterium [Candidatus Nomurabacteria bacterium GW2011_GWA2_41_25/Candidatus Nomurabacteria bacterium GW2011_GWC2_41_8/Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_01_FULL_41_91/Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_FULL_41_52/Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_12_FULL_42_19/Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_41_52/Candidatus Nomurabacteria bacterium RIFCSPLOWO2_02_FULL_42_24/Candidatus Nomurabacteria bacterium RIFCSPLOWO2_12_FULL_41_10]
specI_v3_01859	ref_mOTU_v25_01859	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85010 Pseudonocardiales	2070 Pseudonocardiaceae	1847 Pseudonocardia	NA Pseudonocardia sp. [Pseudonocardia sp. EC080619-01/Pseudonocardia sp. EC080625-04/Pseudonocardia sp. EC080610-09/Pseudonocardia sp. Ae150A_Ps1/Pseudonocardia sp. Ae168_Ps1/Pseudonocardia sp. Ae263_Ps1/Pseudonocardia sp. Ae356_Ps1/Pseudonocardia sp. Ae707_Ps1]
specI_v3_03334	ref_mOTU_v25_03334	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	2433 Roseobacter	NA Roseobacter sp. [Roseobacter sp. MedPE-SWde/Roseobacter sp. MED193]
specI_v3_03888	ref_mOTU_v25_03888	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	2034 Curtobacterium	NA Curtobacterium sp. [Curtobacterium sp. YR515/Curtobacterium sp. MCBA15_013/Curtobacterium sp. MCBA15_016/Curtobacterium sp. BH-2-1-1]
specI_v3_05319	ref_mOTU_v25_05319	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85016 Cellulomonadaceae	1707 Cellulomonas	NA Cellulomonas sp. [Cellulomonas sp. Root137/Cellulomonas sp. Root930]
specI_v3_05744	ref_mOTU_v25_05744	2 Bacteria	203691 Spirochaetes	NA Spirochaetes class incertae sedis	NA Spirochaetes order incertae sedis	NA Spirochaetes fam. incertae sedis	NA Spirochaetes gen. incertae sedis	NA Spirochaetes bacterium [Spirochaetes bacterium GWB1_60_80/Spirochaetes bacterium GWC1_61_12/Spirochaetes bacterium GWD1_61_31/Spirochaetes bacterium GWE1_60_18/Spirochaetes bacterium GWF1_60_12]
specI_v3_05750	ref_mOTU_v25_05750	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	NA Candidatus Staskawiczbacteria bacterium [Candidatus Staskawiczbacteria bacterium RIFOXYB1_FULL_37_44/Candidatus Staskawiczbacteria bacterium RIFOXYC1_FULL_37_52/Candidatus Staskawiczbacteria bacterium RIFOXYC2_FULL_37_19/Candidatus Staskawiczbacteria bacterium RIFOXYD1_FULL_37_110/Candidatus Staskawiczbacteria bacterium RIFOXYD2_FULL_37_9]
specI_v3_01968	ref_mOTU_v25_01968	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	32011 Methylophilaceae	16 Methylophilus	NA Methylophilus sp. [Methylophilus sp. 1/Methylophilus sp. 42/Methylophilus sp. OH31/Methylophilus sp. Q8]
